-64.1815744 -31.4051755,Blvd. Las Heras 150,
-64.1927561 -31.4241266,Dr. T. Achával Rodríguez 345,
-64.1916736 -31.4163436,General Simón Bolívar & Caseros,
-64.1888715 -31.4375093,Comedor Universitario,
-64.1882798 -31.43909380000001,Facultad de Odontología F.O. | U.N.C.,
-64.1804162 -31.4506512,Elías Yofre 1050,
-64.1733976 -31.4308354,Teatro Griego,
-64.19576359999999 -31.4093422,Plaza Colon,
-64.1860646 -31.4236477,Buen Pastor,
-64.21803229999999 -31.4037967,Plaza Jerónimo del Barco,
-64.18484 -31.3916664,Plaza Rivadavia,
-64.2827885 -31.3630577,Valle escondido,
-64.2276524 -31.3837714,Parque de Las Naciones,
-64.2568273 -31.3403527,Ecopunto Ricardo rojas,
-64.2558541 -31.3733197,Parque del Chateau,
-64.1703667 -31.41436799999999,Plaza Alberdi,
-64.1702906 -31.4095618,JOSE MARIA PAZ,
-64.1873411 -31.4326208,Parque de Las Tejas,
-64.147803 -31.423388,CPC N°12 Centro Cultural San Vicente,
-64.2899999 -31.3419414,Recta martinoli,
-64.2115548 -31.4295382,Ruta 20,
-64.21474959999999 -31.3772087,Plaza Gendarmería Nacional Argentina,
-64.1472451 -31.3639509,Centro de transferencias de residuos Rancagua,
